feature,source_kind,source_branches
ecal_total_signal_gev,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_max_hit_gev,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_n_hits,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_centroid_x_cm,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_centroid_y_cm,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_centroid_z_cm,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_rms_x_cm,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_rms_y_cm,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_rms_z_cm,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_effective_n_hits,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_empty,quality_flag,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_top1_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_top3_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_top5_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_top10_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_top20_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin00_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin00_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin01_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin01_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin02_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin02_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin03_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin03_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin04_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin04_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin05_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin05_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin06_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin06_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin07_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin07_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin08_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin08_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin09_hit_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
ecal_density_bin09_energy_frac,detector,"[""ECAL/HCAL hit positions and calibrated signals""]"
