sample,feature,corr_abs_energy_relative_residual,corr_relative_fourvector_error,corr_angular_error_mrad
validation_focus,visible_signal_gev,-0.2037198757460999,-0.2038505501471558,-0.05756390573696987
validation_focus,log1p_visible_signal,-0.3653558888097205,-0.36656465119567216,-0.15441524443749757
validation_focus,ecal_signal_fraction,-0.074646374573841,-0.07278968429090839,0.1014504411710693
validation_focus,hcal_signal_fraction,0.07464637457384102,0.07278968429090837,-0.1014504411710693
validation_focus,hcal_back_leakage_proxy,0.005072630475914383,0.004933496552827438,-0.016121232197467264
validation_focus,axis_exit_min_margin_cm,-0.04038713371474828,-0.04066021497740996,-0.03164727723923371
validation_focus,axis_exit_margin_x_cm,-0.024545145528829894,-0.024757968570880345,-0.02197969335581799
validation_focus,axis_exit_margin_y_cm,-0.05734744956950406,-0.057840102727100655,-0.04398727252123123
validation_focus,all_total_signal_gev,-0.20371987574609987,-0.2038505501471558,-0.05756390573696988
validation_focus,all_n_hits,-0.5238228271204605,-0.5251106592684048,-0.21504438079038574
validation_focus,all_effective_n_hits,-0.208559006824373,-0.2096507335865534,-0.1100096271443788
validation_focus,all_axis_residual_rms_cm,-0.20559660006295935,-0.2051537395665435,-0.020649379665747848
validation_focus,all_pca_lambda1_frac,-0.3517277027524843,-0.35366526299719586,-0.21099571163796713
validation_focus,hcal_depth_cum90_group,-0.16596867848225394,-0.16684759063068577,-0.09812512876925646
validation_focus,hcal_back_energy_frac,0.005072630475914383,0.004933496552827438,-0.016121232197467264
validation_focus,ecal_front_energy_frac,-0.08923675825424714,-0.08913892815054054,-0.012864538130836631
test_focus,visible_signal_gev,-0.20709526331059808,-0.2070107445857191,-0.060293446483083143
test_focus,log1p_visible_signal,-0.37476988387846777,-0.3754076469512536,-0.1657984251369015
test_focus,ecal_signal_fraction,-0.0659520207682197,-0.06412104556023003,0.14369270905156062
test_focus,hcal_signal_fraction,0.0659520207682197,0.06412104556023004,-0.14369270905156065
test_focus,hcal_back_leakage_proxy,0.004918029007967132,0.0046880061629676105,-0.03401145019638979
test_focus,axis_exit_min_margin_cm,-0.03723896408269746,-0.03821589967864072,-0.10059039418581525
test_focus,axis_exit_margin_x_cm,-0.031247258583638915,-0.032005511294768335,-0.08762564608868166
test_focus,axis_exit_margin_y_cm,-0.07410601859998722,-0.07760048717838301,-0.19611554110168614
test_focus,all_total_signal_gev,-0.20709526331059808,-0.2070107445857191,-0.060293446483083143
test_focus,all_n_hits,-0.5403318722001703,-0.5412292833738586,-0.24845893766222338
test_focus,all_effective_n_hits,-0.20606091714668315,-0.2070087944717833,-0.12769947465518708
test_focus,all_axis_residual_rms_cm,-0.20271913167127628,-0.20231867211910204,-0.023297328903173653
test_focus,all_pca_lambda1_frac,-0.3552277710265778,-0.35663224157268625,-0.2511524034521194
test_focus,hcal_depth_cum90_group,-0.1644297822779851,-0.16503990854667885,-0.10464752020086339
test_focus,hcal_back_energy_frac,0.004918029007967132,0.0046880061629676105,-0.03401145019638979
test_focus,ecal_front_energy_frac,-0.07974024874364723,-0.07961267247050076,-0.0034266272700012083
