round,target,split,rmse,weighted_rmse,effective_target_round
1,log1p_kinetic,train_focus,0.42118531739076953,0.42184726689073593,1
1,log1p_kinetic,validation_focus,0.42145682125302314,,1
1,ux,train_focus,0.1688181750611164,0.16881769501113777,1
1,ux,validation_focus,0.16752229326956403,,1
1,uy,train_focus,0.16844994011345998,0.16845095436403978,1
1,uy,validation_focus,0.16679535955770303,,1
1,uz,train_focus,0.027718856605566746,0.027719003623365445,1
1,uz,validation_focus,0.02741283403678814,,1
2,log1p_kinetic,train_focus,0.4077288821943156,0.40837021297949405,2
2,log1p_kinetic,validation_focus,0.4078494494185374,,2
2,ux,train_focus,0.16234584293744214,0.1623455623892491,2
2,ux,validation_focus,0.16090785543899594,,2
2,uy,train_focus,0.16196527401479338,0.1619664347781117,2
2,uy,validation_focus,0.16022264627557745,,2
2,uz,train_focus,0.026745365409943055,0.026745507534546378,2
2,uz,validation_focus,0.02644878101007337,,2
3,log1p_kinetic,train_focus,0.39492102940590634,0.3955425868995614,3
3,log1p_kinetic,validation_focus,0.3948968442505801,,3
3,ux,train_focus,0.15614840494787272,0.15614831187522424,3
3,ux,validation_focus,0.15457483799888108,,3
3,uy,train_focus,0.15574686726329845,0.15574819241524737,3
3,uy,validation_focus,0.15391779154170218,,3
3,uz,train_focus,0.02581678213572318,0.025816932960093297,3
3,uz,validation_focus,0.02552906238706992,,3
5,log1p_kinetic,train_focus,0.37112754725382746,0.37171153030131593,5
5,log1p_kinetic,validation_focus,0.3708473953172053,,5
5,ux,train_focus,0.14450237149401704,0.14450265674423157,5
5,ux,validation_focus,0.14265261885979758,,5
5,uy,train_focus,0.144109688103378,0.14411132994913953,5
5,uy,validation_focus,0.14208597586063476,,5
5,uz,train_focus,0.024073025632535962,0.02407320870659872,5
5,uz,validation_focus,0.02380141211240278,,5
10,log1p_kinetic,train_focus,0.3209042204309237,0.32140420374960876,10
10,log1p_kinetic,validation_focus,0.32005856249761105,,10
10,ux,train_focus,0.11940336472811187,0.11940452435314294,10
10,ux,validation_focus,0.11681978138530749,,10
10,uy,train_focus,0.11892312656033183,0.11892537518185202,10
10,uy,validation_focus,0.11637542951558877,,10
10,uz,train_focus,0.02033570971564466,0.02033601523910265,10
10,uz,validation_focus,0.020095560668773667,,10
35,log1p_kinetic,train_focus,0.20024767407496205,0.20048643777386832,35
35,log1p_kinetic,validation_focus,0.19819248535622463,,35
35,ux,train_focus,0.05200590228853253,0.05200931036785259,35
35,ux,validation_focus,0.04427472966500921,,35
35,uy,train_focus,0.050846065567223035,0.05084998347639282,35
35,uy,validation_focus,0.04419672863174943,,35
35,uz,train_focus,0.01033746340049284,0.010339179933876366,35
35,uz,validation_focus,0.010168377695452889,,35
70,log1p_kinetic,train_focus,0.16586991923484345,0.16599150496793696,70
70,log1p_kinetic,validation_focus,0.16426801417101947,,70
70,ux,train_focus,0.03174511822743335,0.031748267410551576,70
70,ux,validation_focus,0.01568685122383419,,70
70,uy,train_focus,0.029610243407005254,0.029613952154059524,70
70,uy,validation_focus,0.015711226202279036,,70
70,uz,train_focus,0.006478058977761378,0.006480815113235813,70
70,uz,validation_focus,0.0063043051303559245,,70
105,log1p_kinetic,train_focus,0.15778599432781337,0.15788008662109076,105
105,log1p_kinetic,validation_focus,0.15707768501003064,,105
105,ux,train_focus,0.02976596635403538,0.029768569826018474,105
105,ux,validation_focus,0.011282356574509376,,105
105,uy,train_focus,0.027444385229384752,0.02744756438896125,105
105,uy,validation_focus,0.011310646806328881,,105
105,uz,train_focus,0.005276590059355997,0.005279240036625158,105
105,uz,validation_focus,0.005076408505614793,,105
140,log1p_kinetic,train_focus,0.153839134164152,0.15392402431396987,140
140,log1p_kinetic,validation_focus,0.15442068518493438,,140
140,ux,train_focus,0.029458860767467447,0.029461315377892927,140
140,ux,validation_focus,0.01064717792089059,,140
140,uy,train_focus,0.02709938668569765,0.027102451049458104,140
140,uy,validation_focus,0.010603339769073709,,140
140,uz,train_focus,0.004689433683104887,0.004691766126623659,140
140,uz,validation_focus,0.004469452998847231,,140
175,log1p_kinetic,train_focus,0.15102737855762738,0.15110732592986487,175
175,log1p_kinetic,validation_focus,0.15309697657068289,,175
175,ux,train_focus,0.029326979850185758,0.029329377020337607,175
175,ux,validation_focus,0.010467563823749398,,175
175,uy,train_focus,0.026954480997487085,0.02695751556526365,175
175,uy,validation_focus,0.010337605574908756,,175
175,uz,train_focus,0.004316820903599669,0.0043188502237553475,175
