feature,mean_gain,targets_used
hcal_total_signal_gev,47.40921075141523,4
hcal_density_bin02_energy_frac,11.274553075083531,4
hcal_top20_energy_frac,4.9457608679367695,4
all_centroid_y_cm,4.591502663155552,4
hcal_centroid_x_cm,4.542250049067661,4
hcal_effective_n_hits,4.3781707045855,4
axis_exit_min_margin_cm,3.7826060605584644,4
hcal_max_hit_gev,3.4947004682544502,4
hcal_density_bin03_energy_frac,3.0984353467574692,4
hcal_centroid_y_cm,3.074195205932483,4
hcal_density_bin00_energy_frac,2.7678088842512807,4
hcal_density_bin01_energy_frac,2.51740095007699,4
all_density_bin07_energy_frac,2.1418773521545518,4
hcal_top5_energy_frac,1.6068943119862524,4
all_centroid_x_cm,1.4915133264730684,4
hcal_depth_cum90_group,1.391947682481259,4
all_total_signal_gev,1.2990307020081673,4
hcal_top3_energy_frac,1.2155312550457893,4
all_n_hits,1.1696838156785816,4
ecal_density_bin02_energy_frac,0.8035742644278798,4
log1p_visible_signal,0.6901172206853516,4
all_density_bin02_energy_frac,0.6512877349377959,4
hcal_top1_energy_frac,0.6372456601966405,4
all_density_bin05_hit_frac,0.6259807512542466,4
visible_signal_gev,0.5887941154942382,4
hcal_signal_fraction,0.5476032785809366,4
visible_signal_times_axis_cos,0.540641050261911,4
hcal_depth_g07_energy_frac,0.5139147421868984,4
all_density_bin03_energy_frac,0.5064979694907379,4
ecal_density_bin03_energy_frac,0.5008147800872393,4
hcal_n_hits,0.438220088602975,4
hcal_front_energy_frac,0.43452606711070985,4
axis_exit_x_cm,0.43243132972565945,4
all_centroid_z_cm,0.4109329332713969,4
hcal_depth_g00_energy_frac,0.40623349574161693,4
all_density_bin04_energy_frac,0.4056752633150609,4
axis_exit_margin_x_cm,0.393938371213153,4
hcal_centroid_z_cm,0.38891090534161776,4
all_rms_z_cm,0.37120088679512264,4
axis_exit_y_cm,0.36733057263336377,4
ecal_n_hits,0.3600186841067625,4
hcal_back_energy_frac,0.34913311337368214,4
all_top20_energy_frac,0.33057399401877774,4
ecal_density_bin01_energy_frac,0.32978291434483253,4
all_density_bin06_hit_frac,0.3274290062545333,4
hcal_depth_cum50_group,0.3048134275013581,4
all_effective_n_hits,0.3009264743886888,4
hcal_density_bin05_energy_frac,0.2905586595661589,4
axis_exit_margin_y_cm,0.2843576476443559,4
hcal_rms_x_cm,0.2833195268904092,4
hcal_rms_y_cm,0.278251995514438,4
ecal_total_signal_gev,0.27729474160878453,4
all_top5_energy_frac,0.27441217330488143,4
all_top3_energy_frac,0.2696048574434826,4
hcal_density_bin04_energy_frac,0.25647171295349835,4
hcal_density_bin00_hit_frac,0.24963728000875562,4
hcal_density_bin07_energy_frac,0.2422759365163074,4
ecal_density_bin04_energy_frac,0.2422575244709151,4
all_max_hit_gev,0.2419263910560403,4
all_top10_energy_frac,0.24076657834666548,4
ecal_centroid_y_cm,0.23717747710179538,4
ecal_centroid_x_cm,0.23515573603799567,4
hcal_depth_g02_energy_frac,0.22422597656259313,4
hcal_depth_g01_hit_frac,0.22325919155264273,4
ecal_signal_fraction,0.22071746310393792,4
hcal_depth_peak_group,0.2183797606267035,4
hcal_top10_energy_frac,0.21772853749644128,4
hcal_rms_z_cm,0.21561966033186764,4
hcal_back_leakage_proxy,0.2154598059187265,4
all_top1_energy_frac,0.21485975636460353,4
all_density_bin00_hit_frac,0.2083854768279707,4
hcal_axis_residual_rms_cm,0.20211456657852978,4
ecal_density_bin05_hit_frac,0.2012984033099201,4
all_density_bin04_hit_frac,0.20095369301270694,4
hcal_axis_u_x,0.1945188106619753,4
hcal_pca_lambda1_frac,0.19410905586119043,4
ecal_density_bin00_energy_frac,0.19303188122648862,4
all_axis_residual_rms_cm,0.19111226862150943,4
